Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,Latitude,Longitude,hdb_completed,hdb_address,scope_via,pluto_current_bbl,bbl_sunsetted
B00489656,New Building,3. Permitted for Construction,3428980,3039500007,3,221,BARBEY STREET,,2022.0,0.0,2,2.0,,2021-03-30,2022-03-10,,2 Family,PROPOSED NEW THREE STORIES TWO FAMILY DWELLINGS WITH CELLAR,40.67782729240591,-73.88853501511787,False,221 BARBEY STREET,bbl_block,3039500007,False
B00512095,New Building,2. Approved Application,3328367,3039600065,3,3141,ATLANTIC AVENUE,,,0.0,8,8.0,,2021-05-16,,,Other,PROPOSED NEW FIVE (5) STORY WITH CELLAR.  MIXED-USE BUILDING. MECHANICAL (MH) STRUCTURAL (ST) PLUMBING/SPRINKLER/STANDPIPE (PL/SP/SD) FIRE ALARM(FA) & BPP FILED SEPERATELY. 8 CLASS A DWELLING,40.679803123218015,-73.87939500528272,False,3141 ATLANTIC AVENUE,bbl_block,3039600065,False
B00569207,Alteration,5. Completed Construction,3328465,3039930001,3,2219,PITKIN AVENUE,2025.0,2023.0,16.0,16,0.0,16.0,2021-09-29,2023-08-18,2025-08-26,Other,FILING TO AMEND CURRENT C of O TO CORRECT NUMBER OF PROPOSED PARKING SPACES TO EXSITING INDOOR PARKING GARAGE AS INDICATED. THERE WILL BE NO CHANGE IN USE EGRESS OR OCCUPANCY TO EXISTING RESIDENTIAL BUILDING.,40.67304523288359,-73.89061815200631,True,2219 PITKIN AVENUE,bbl_block,3039930001,False
B00584279,New Building,5. Completed Construction,3430036,3039710050,3,731,LIBERTY AVENUE,2023.0,2022.0,0.0,10,10.0,10.0,2021-11-10,2022-05-24,2023-05-25,Other,PROPOSED FOUR (4) STORY WITH PENTHOUSE MIXED-USE BUILDING.,40.67662288325533,-73.88278359279352,True,731 LIBERTY AVENUE,bbl_block,3039710050,False
B00594970,New Building,5. Completed Construction,3429466,3039890001,3,365,SHEPHERD AVENUE,2025.0,2022.0,0.0,123,123.0,123.0,2021-11-15,2022-12-21,2025-04-24,Other,An affordable housing project. A (7) story new building with (123) dwelling units in total. A mixed use of (105) UG2 + (10) UG3 + (8) AIRS units,40.67576494511725,-73.88093927949379,True,365 SHEPHERD AVENUE,bbl_block,3039890001,False
B00640786,New Building,5. Completed Construction,3428952,3041437502,3,254,EUCLID AVENUE,2025.0,2022.0,0.0,436,436.0,436.0,2021-12-27,2022-12-29,2025-04-16,Other,CONSTRUCT NEW FOURTEEN (14) STORY MIXED USE BUILDING AS PER PLANS FILED.,40.68191625694341,-73.8744481000775,True,254 EUCLID AVENUE,bbl_block,3041437502,False
B00670629,New Building,5. Completed Construction,3430123,3039890016,3,786,LIBERTY AVENUE,2025.0,2022.0,0.0,54,54.0,54.0,2022-01-31,2022-06-09,2025-05-06,Other,Proposing new 8 story & cellar residential building,40.67655588222935,-73.88082689481602,True,786 LIBERTY AVENUE,bbl_block,3039890016,False
B00733362,New Building,2. Approved Application,3848366,3040030001,3,455,LINWOOD STREET,,,0.0,3,3.0,,2022-05-20,,,3 Family,PROPOSED NEW THREE (3) STORY THREE (3) FAMILY RESIDENTIAL BUILDING.,40.674347,-73.882442,False,455 LINWOOD STREET,bbl_block,3040030001,False
B00867121,Alteration,2. Approved Application,3093161,3041540019,3,303,LOGAN STREET,,,1.0,2,1.0,,2023-05-16,,,2 Family,Propose to convert from 1 to 2 family house propose vertical extension propose new entrance from rear to cellar  propose new front entrance to cellar  propose new driveway,40.67887382025916,-73.87698888461358,False,303 LOGAN STREET,bbl_block,3041540019,False
B00899061,New Building,3. Permitted for Construction,3429638,3041900012,3,391,LOGAN STREET,,2024.0,0.0,2,2.0,,2023-07-13,2024-03-14,,3 Family,Application to file new two family house as per drawings.,40.676748,-73.876396,False,391 LOGAN STREET,bbl_block,3041900012,False
B00924193,Alteration,1. Filed Application,3087909,3039520004,3,245,WARWICK STREET,,,2.0,2,0.0,,2023-10-03,,,2 Family,,40.67808646569088,-73.88680100549854,False,245 WARWICK STREET,bbl_block,3039520004,False
B00936591,Demolition,5. Completed Construction,3380644,3041930129,3,30,DOSCHER STREET,2025.0,2025.0,2.0,0,-2.0,,2024-11-07,2025-11-07,2025-11-07,1 Family,,40.6768974652536,-73.8734148254778,True,30 DOSCHER STREET,bbl_block,3041930129,False
B00938073,Demolition,5. Completed Construction,3088579,3039810035,3,605,GLENMORE AVENUE,2024.0,2024.0,1.0,0,-1.0,,2023-11-01,2024-10-15,2024-10-15,2 Family,full demolition of 3 1/2 story structure,40.674613,-73.887864,True,605 GLENMORE AVENUE,bbl_block,3039810035,False
B00972461,New Building,3. Permitted for Construction,3429718,3041430003,3,275,CHESTNUT STREET,,2025.0,0.0,327,327.0,,2024-01-29,2025-09-25,,Other,CONSTRUCT NEW FOURTEEN (14) STORY MIXED-USE BUILDING AS PER PLANS FILED.,40.681324,-73.874376,False,275 CHESTNUT STREET,bbl_block,3041430003,False
B01031333,Alteration,1. Filed Application,3341486,3039870014,3,728,LIBERTY AVENUE,,,6.0,4,-2.0,,2025-03-07,,,Other,Interior work filed separately under separate application(s).  Acquisition of new Certificate of Occupancy.,40.67629221931318,-73.88269156881775,False,728 LIBERTY AVENUE,bbl_block,3039870014,False
B01091813,New Building,1. Filed Application,3824242,3042100034,3,2647,PITKIN AVENUE,,,0.0,7,7.0,,2024-09-26,,,Other,Proposed four storey residential and commercial building.,40.675272,-73.874549,False,2647 PITKIN AVENUE,bbl_block,3042100034,False
B01112739,New Building,3. Permitted for Construction,3430014,3039730050,3,60,BERRIMAN STREET,,2025.0,0.0,8,8.0,,2024-10-02,2025-05-23,,Other,NEW BUILDING - EIGHT FAMILY FOUR STORY WITH CELLAR- RESIDENTIAL BUILDING,40.677414,-73.880959,False,60 BERRIMAN STREET,bbl_block,3039730050,False
B01147007,New Building,3. Permitted for Construction,3430012,3039990004,3,395,WARWICK STREET,,2025.0,0.0,3,3.0,,2025-01-09,2025-11-10,,3 Family,NEW THREE STORY THREE FAMILY DWELLING.,40.674027,-73.885756,False,395 WARWICK STREET,bbl_block,3039990004,False
B01139174,New Building,2. Approved Application,3429988,3039730050,3,62,BERRIMAN STREET,,,0.0,17,17.0,,2024-11-07,,,Other,17 FAMILY 5 STORY WITH CELLAR - RESIDENTIAL BUILDING,40.677414,-73.880959,False,62 BERRIMAN STREET,bbl_block,3039730050,False
B01149720,New Building,1. Filed Application,3093263,3041620002,3,3320,ATLANTIC AVENUE,,,0.0,33,33.0,,2024-12-05,,,Other,Construct new eight (8) story mixed use building with residential and retail use as per plans filed herewith.,40.68103745797791,-73.87296059920058,False,3320 ATLANTIC AVENUE,bbl_block,3041620002,False
B01151079,Alteration,5. Completed Construction,3088877,3039990035,3,2349,PITKIN AVENUE,2025.0,2025.0,3.0,9,6.0,9.0,2024-12-06,2025-03-26,2025-08-29,Other,Interior renovation to increase number of dwelling  units from 3 to 9 units to an existing 3 story building.,40.67360194312357,-73.88562457645862,True,2349 PITKIN AVENUE,bbl_block,3039990035,False
B01158510,Demolition,2. Approved Application,3093263,3041620002,3,3320,ATLANTIC AVENUE,,,1.0,0,-1.0,,2025-02-10,,,Other,This job is filed for full demolition work at 3320 Atlantic Avenue BK 11208,40.68103745797791,-73.87296059920058,False,3320 ATLANTIC AVENUE,bbl_block,3041620002,False
B01161142,New Building,3. Permitted for Construction,3397139,3039600005,3,207,HALE AVENUE,,2025.0,0.0,3,3.0,,2025-01-20,2025-10-31,,3 Family,NEW THREE STORY THREE FAMILY DWELLING.,40.680191,-73.879631,False,207 HALE AVENUE,bbl_block,3039600005,False
B01203284,New Building,1. Filed Application,3087939,3039520042,3,200,ASHFORD STREET,,,0.0,79,79.0,,2025-06-25,,,Other,(PLEASE ASSIGN TO DEV HUB) PROPOSING NEW 9 STORY AND CELLAR MIXED-USE BUILDING.,40.67783224805355,-73.88629209859792,False,200 ASHFORD STREET,bbl_block,3039520042,False
B01225983,New Building,1. Filed Application,3256546,3039580049,3,229,SHEPHERD AVENUE,,,0.0,99,99.0,,2025-05-23,,,Other,PROPOSED NEW EIGHT STORY MIXED USE BUILDING.,40.679289,-73.881143,False,229 SHEPHERD AVENUE,bbl_block,3039580049,False
B01241582,New Building,1. Filed Application,3256546,3039580049,3,240,HIGHLAND PLACE,,,0.0,99,99.0,,2025-06-19,,,Other,PROPOSED NEW EIGHT STORY MIXED USE BUILDING.,40.679289,-73.881143,False,240 HIGHLAND PLACE,bbl_block,3039580049,False
B01232724,New Building,1. Filed Application,3088731,3039890032,3,803,GLENMORE AVENUE,,,0.0,10,10.0,,2025-06-16,,,Other,PROPOSED FOUR (4) STORY RESIDENTIAL BUILDING.,40.675665,-73.88058,False,803 GLENMORE AVENUE,bbl_block,3039890032,False
B01255657,New Building,1. Filed Application,3088379,3039710031,3,256,ESSEX STREET,,,0.0,18,18.0,,2025-08-27,,,Other,Proposed four (4) story + cellar and penthouse residential use building.,40.677757,-73.882927,False,256 ESSEX STREET,bbl_block,3039710031,False
B01239985,New Building,2. Approved Application,3430274,3040030001,3,455,LINWOOD STREET,,,0.0,11,11.0,,2025-06-25,,,Other,PROPOSED NEW THREE STORY 11 FAMILY RESIDENTIAL BUILDING.,40.674347,-73.882442,False,455 LINWOOD STREET,bbl_block,3040030001,False
B01313756,New Building,1. Filed Application,3094616,3042100017,3,950,GLENMORE AVENUE,,,0.0,29,29.0,,2025-11-13,,,Other,New 5-story 29-family building,40.676060132498286,-73.87498398973493,False,950 GLENMORE AVENUE,bbl_block,3042100017,False
B08042891,Alteration,5. Completed Construction,3087923,3039520023,3,2930,FULTON STREET,2024.0,2023.0,4.0,8,4.0,8.0,2022-11-19,2023-01-27,2024-08-13,Other,CONVERT 2ND FLOOR EXISTING COMMUNITY FACILITY (U.G.4) TO RESIDENTIAL (U.G.2) 1ST FLOOR EXISTING COMMERCIAL (U.G. 6) AND 3RD FLOOR RESIDENTIAL 2 APARTMENTS (U.G.3) CHANGE TO 5 APARTMENTS (U.G. 2) EXISTING MIXED USE BUILDING. OBTAIN NEW C OF O.,40.67912321642334,-73.88657014748956,True,2930 FULTON STREET,bbl_block,3039520023,False
301997329,Alteration,5. Completed Construction,3087996,3039540018,3,2964,FULTON STREET,2011.0,2005.0,1.0,2,1.0,2.0,2005-08-22,2005-10-27,2011-04-29,B1,To convert existing doctor's office to one family dewlling unit at first floor. Horizontal extension on first floor. Obtain new c of o.,40.67958103491663,-73.8852855999003,True,2964 FULTON STREET,bbl_block,3039540018,False
302068438,Alteration,3. Permitted for Construction,3093168,3041540027,3,285,LOGAN STREET,,2006.0,2.0,2,0.0,,2006-01-31,2006-02-02,,S2,Proposed to convert existing Basement floor to Professional Office with garage. Obtain New C of O,40.67934637849393,-73.87709901716306,False,285 LOGAN STREET,bbl_block,3041540027,False
302162022,New Building,5. Completed Construction,3088808,3039950032,3,2263,PITKIN AVENUE,2022.0,2006.0,0.0,3,3.0,3.0,2006-05-24,2006-06-06,2022-09-15,C0,,40.67311070650688,-73.88897376042311,True,2263 PITKIN AVENUE,bbl_block,3039950032,False
302140662,New Building,5. Completed Construction,3402310,3041900040,3,148,FOUNTAIN AVENUE,2011.0,2009.0,0.0,2,2.0,2.0,2006-04-05,2009-12-22,2011-05-04,B1,,40.676560381338064,-73.87597083136629,True,148 FOUNTAIN AVENUE,bbl_block,3041900040,False
302183759,Alteration,5. Completed Construction,3093196,3041540087,3,88,FOUNTAIN AVENUE,2010.0,2007.0,3.0,3,0.0,3.0,2006-06-14,2007-05-01,2010-02-24,C0,"FILING FOR COMPLETE INTERIOR RENOVATIONOF EXISTING BUILDING.  NO CHANGE  IN EGRESS, USE AND/OR OCCUPANCY.",40.67803010538575,-73.87625298259546,True,88 FOUNTAIN AVENUE,bbl_block,3041540087,False
302183795,Alteration,5. Completed Construction,3089282,3040200016,3,428,SHEPHERD AVENUE,2010.0,2007.0,2.0,2,0.0,2.0,2006-06-14,2007-05-01,2010-04-29,B2,FILING FOR COMPLETE INTERIOR RENOVATIONAND IMPROVEMENTS OF EXISTING BUI LDING.,40.67389887312154,-73.88097576855985,True,428 SHEPHERD AVENUE,bbl,3040200016,False
302189502,New Building,5. Completed Construction,3394600,3039990032,3,2359,PITKIN AVENUE,2019.0,2006.0,0.0,3,3.0,3.0,2006-07-07,2006-07-11,2019-02-15,C0,,40.67368498917939,-73.88540955884835,True,2359 PITKIN AVENUE,bbl_block,3039990032,False
