bbl,address,bldgclass,landuse,yearbuilt,unitsres,unitstotal,numbldgs,assesstot,latitude,longitude,source
3039500036,180 JEROME STREET,B2,1,1901,2,2,1,47940.0,40.6777285,-73.8881508,on a listed block
3039520015,213 WARWICK STREET,B2,1,1901,2,2,1,50760.0,40.6788198,-73.886952,on a listed block
3039520012,221 WARWICK STREET,B2,1,1901,2,2,1,64980.0,40.6786221,-73.8869018,on a listed block
3039520031,168 ASHFORD STREET,C0,2,1901,3,3,1,50220.0,40.6786053,-73.8865341,on a listed block
3039520013,219 WARWICK STREET,B2,1,1901,2,2,1,76680.0,40.678688,-73.8869198,on a listed block
3039520014,215 WARWICK STREET,B2,1,1901,2,2,1,50760.0,40.6787566,-73.8869377,on a listed block
3039520016,211 WARWICK STREET,B2,1,2006,2,2,1,62940.0,40.6788775,-73.8870492,on a listed block
3039520017,207 WARWICK STREET,B2,1,2006,2,2,1,53880.0,40.6789462,-73.8870671,on a listed block
3039520018,203 WARWICK STREET,B2,1,2006,2,2,1,47040.0,40.6790313,-73.887085,on a listed block
3039520019,2920 FULTON STREET,C0,2,1920,3,3,2,45960.0,40.67899,-73.8869481,on a listed block
3039520020,2922 FULTON STREET,D6,4,2024,7,8,0,676800.0,40.6790063,-73.8868687,on a listed block
3039520021,2924 FULTON STREET,S9,4,1920,2,4,1,261450.0,40.6790255,-73.8867822,on a listed block
3039520023,2928 FULTON STREET,K4,4,1930,2,4,1,378900.0,40.6791104,-73.8865693,on a listed block
3039520026,154 ASHFORD STREET,C0,2,1901,3,3,1,67260.0,40.6789457,-73.8865732,on a listed block
3039520027,156 ASHFORD STREET,S4,4,2013,4,5,1,313650.0,40.6788716,-73.8866022,on a listed block
3039520028,158 ASHFORD STREET,B2,1,1901,2,2,1,51180.0,40.6788057,-73.8865843,on a listed block
3039520030,164 ASHFORD STREET,B2,1,1901,2,2,1,53700.0,40.6786712,-73.886552,on a listed block
3039520034,176 ASHFORD STREET,B2,1,1901,2,2,2,51180.0,40.6784021,-73.886484,on a listed block
3039520036,182 ASHFORD STREET,B2,1,1901,2,2,1,51180.0,40.6782676,-73.8864482,on a listed block
3039520009,231 WARWICK STREET,C0,2,1901,3,3,1,49800.0,40.6784189,-73.8868517,on a listed block
3039520011,225 WARWICK STREET,B2,1,1901,2,2,1,76800.0,40.6785535,-73.8868839,on a listed block
3039520032,170 ASHFORD STREET,B2,1,1901,2,2,1,70140.0,40.6785366,-73.8865162,on a listed block
3039520001,255 WARWICK STREET,W1,8,2009,0,1,1,2245500.0,40.6778808,-73.886712,on a listed block
3039520002,251 WARWICK STREET,W1,8,2009,0,1,1,2245500.0,40.6779495,-73.8867299,on a listed block
3039520003,249 WARWICK STREET,B2,1,1901,2,2,1,46500.0,40.6780154,-73.8867478,on a listed block
3039520004,245 WARWICK STREET,B2,1,1901,2,2,1,50700.0,40.6780813,-73.8867658,on a listed block
3039520005,243 WARWICK STREET,B2,1,1901,2,2,1,50700.0,40.6781499,-73.8867801,on a listed block
3039520006,239 WARWICK STREET,B2,1,1910,2,2,1,45660.0,40.6782158,-73.886798,on a listed block
3039520007,237 WARWICK STREET,B2,1,1901,2,2,1,50760.0,40.6782844,-73.8868159,on a listed block
3039520008,233 WARWICK STREET,B2,1,1901,2,2,1,50760.0,40.6783503,-73.8868338,on a listed block
3039520010,227 WARWICK STREET,B2,1,1901,2,2,1,50760.0,40.6784876,-73.8868696,on a listed block
3039520035,180 ASHFORD STREET,B2,1,1901,2,2,1,52140.0,40.6783335,-73.8864661,on a listed block
3039520037,186 ASHFORD STREET,B2,1,1901,2,2,1,51180.0,40.678199,-73.8864303,on a listed block
3039520038,188 ASHFORD STREET,B2,1,1901,2,2,1,51180.0,40.6781331,-73.8864123,on a listed block
3039520039,192 ASHFORD STREET,B2,1,1901,2,2,1,62100.0,40.6780644,-73.886398,on a listed block
3039520040,194 ASHFORD STREET,B2,1,1901,2,2,1,81120.0,40.6779985,-73.8863801,on a listed block
3039520042,2929 ATLANTIC AVENUE,K4,4,1930,0,3,1,1104300.0,40.6778338,-73.8862903,on a listed block
3039520045,2923 ATLANTIC AVENUE,W1,8,2009,0,1,1,2310300.0,40.6777736,-73.8864995,on a listed block
3039520047,2911 ATLANTIC AVENUE,W1,8,2009,0,1,1,2326500.0,40.6777079,-73.8867123,on a listed block
3039520033,174 ASHFORD STREET,B2,1,1901,2,2,2,53700.0,40.6784708,-73.8864983,on a listed block
3039520022,2926 FULTON STREET,S3,4,2017,3,4,1,261000.0,40.6790803,-73.8867028,on a listed block
3039520029,162 ASHFORD STREET,B2,1,1901,2,2,1,51180.0,40.6787398,-73.8865699,on a listed block
3039540025,2980 FULTON STREET,S3,4,1920,3,4,1,273150.0,40.6796822,-73.8847476,on a listed block
3039540022,2974 FULTON STREET,S2,4,1920,2,3,1,44640.0,40.679633,-73.8849604,on a listed block
3039540001,277 CLEVELAND STREET,B2,1,1905,2,2,1,49560.0,40.6784143,-73.8849409,on a listed block
3039540043,212 ELTON STREET,B2,1,1905,2,2,1,49320.0,40.6784661,-73.8845839,on a listed block
3039540041,208 ELTON STREET,B3,1,1905,2,2,1,39660.0,40.6785842,-73.8846125,on a listed block
3039540002,275 CLEVELAND STREET,B2,1,1905,2,2,1,49680.0,40.6784829,-73.8849624,on a listed block
3039540003,271 CLEVELAND STREET,B2,1,1905,2,2,1,49860.0,40.6785516,-73.8849767,on a listed block
3039540004,269 CLEVELAND STREET,B2,1,1905,2,2,1,49860.0,40.6786202,-73.8849946,on a listed block
3039540005,265 CLEVELAND STREET,A1,1,1905,1,1,1,54240.0,40.6786861,-73.8850125,on a listed block
3039540040,206 ELTON STREET,B2,1,1905,2,2,1,47940.0,40.6786336,-73.8846269,on a listed block
3039540042,210 ELTON STREET,A1,1,1905,1,1,1,53340.0,40.678532,-73.8845982,on a listed block
3039540045,2961 ATLANTIC AVENUE,H4,5,1993,0,1,1,1770750.0,40.6782494,-73.8847105,on a listed block
3039540055,281 CLEVELAND STREET,B3,1,1901,2,2,1,36420.0,40.6783484,-73.8849266,on a listed block
3039540014,239 CLEVELAND STREET,C2,2,1905,6,6,1,299250.0,40.6792929,-73.8851665,on a listed block
3039540008,251 CLEVELAND STREET,F9,6,1920,2,3,1,268200.0,40.6789222,-73.8850734,on a listed block
3039540033,184 ELTON STREET,B2,1,1905,2,2,1,51480.0,40.6790756,-73.8847379,on a listed block
3039540019,2966 FULTON STREET,K4,4,1920,2,3,1,141750.0,40.6795399,-73.8851841,on a listed block
3039540036,190 ELTON STREET,V0,11,0,0,0,1,15960.0,40.6788752,-73.8846877,on a listed block
3039540012,241 CLEVELAND STREET,B2,1,1905,2,2,1,50760.0,40.6791913,-73.8851415,on a listed block
3039540006,261 CLEVELAND STREET,B1,1,2007,2,2,1,52320.0,40.6787548,-73.8850305,on a listed block
3039540007,259 CLEVELAND STREET,A1,1,1901,1,1,1,48000.0,40.6788234,-73.8850484,on a listed block
3039540010,249 CLEVELAND STREET,C0,2,2007,3,3,1,92760.0,40.6790211,-73.8850985,on a listed block
3039540011,247 CLEVELAND STREET,A1,1,1905,1,1,2,57660.0,40.6790897,-73.8851164,on a listed block
3039540015,237 CLEVELAND STREET,C2,2,1905,6,6,1,299250.0,40.6793615,-73.8851844,on a listed block
3039540017,2962 FULTON STREET,S9,4,1920,2,4,1,232200.0,40.6794989,-73.8853573,on a listed block
3039540020,2970 FULTON STREET,E9,6,1930,0,1,1,133650.0,40.679559,-73.8850976,on a listed block
3039540021,2972 FULTON STREET,S2,4,1920,2,3,1,48300.0,40.6796166,-73.885029,on a listed block
3039540023,2976 FULTON STREET,S2,4,1920,2,3,1,36720.0,40.6796494,-73.8848919,on a listed block
3039540024,2978 FULTON STREET,S2,4,1920,2,3,1,47880.0,40.6796658,-73.8848198,on a listed block
3039540027,166 ELTON STREET,C0,2,1905,3,3,2,63360.0,40.6794874,-73.8848453,on a listed block
3039540028,170 ELTON STREET,A1,1,1905,1,1,1,47880.0,40.6794133,-73.8848274,on a listed block
3039540029,172 ELTON STREET,B2,1,1905,2,2,1,71220.0,40.6793474,-73.8848095,on a listed block
3039540031,180 ELTON STREET,B2,1,1905,2,2,2,70260.0,40.6792101,-73.8847737,on a listed block
3039540035,188 ELTON STREET,B2,1,1901,2,2,1,75060.0,40.6789411,-73.8847057,on a listed block
3039540037,192 ELTON STREET,B2,1,1901,2,2,1,69480.0,40.6788065,-73.8846698,on a listed block
3039540038,194 ELTON STREET,B1,1,1910,2,2,1,48660.0,40.6787379,-73.8846519,on a listed block
3039540034,186 ELTON STREET,B3,1,1905,2,2,1,44640.0,40.679007,-73.8847236,on a listed block
3039540032,182 ELTON STREET,V0,11,0,0,0,0,15960.0,40.6791442,-73.8847558,on a listed block
3039540039,204 ELTON STREET,A5,1,1905,1,1,1,42360.0,40.678683,-73.8846376,on a listed block
3039540030,174 ELTON STREET,B2,1,1905,2,2,2,63780.0,40.6792788,-73.8847916,on a listed block
3039540018,2964 FULTON STREET,B1,1,1905,2,2,1,73080.0,40.679518,-73.8852707,on a listed block
3039560006,4 FOLSOM PLACE,B2,1,1901,2,2,1,48420.0,40.6790961,-73.8832993,on a listed block
3039560021,3037 ATLANTIC AVENUE,K4,4,1920,2,5,3,333000.0,40.6788347,-73.8826652,on a listed block
3039560053,174 ESSEX STREET,B3,1,1901,2,2,1,54840.0,40.6800483,-73.8830813,on a listed block
3039560068,11 FOLSOM PLACE,B2,1,1901,2,2,1,56400.0,40.6795048,-73.8830318,on a listed block
3039560033,261 LINWOOD STREET,C0,2,1901,3,3,1,49620.0,40.6794915,-73.8833996,on a listed block
3039560007,6 FOLSOM PLACE,B2,1,1901,2,2,1,48060.0,40.6791043,-73.883238,on a listed block
3039560008,8 FOLSOM PLACE,A1,1,1901,1,1,2,48720.0,40.6790932,-73.8831551,on a listed block
3039560016,22 FOLSOM PLACE,B2,1,1901,2,2,1,62280.0,40.6791943,-73.882679,on a listed block
3039560063,196 ESSEX STREET,B2,1,1901,2,2,1,61500.0,40.6795733,-73.8828947,on a listed block
3039560018,220 ESSEX STREET,M9,8,1930,0,1,1,74700.0,40.6790407,-73.8827622,on a listed block
3039560019,222 ESSEX STREET,A2,1,1901,1,1,1,36300.0,40.6789912,-73.882701,on a listed block
3039560023,3033 ATLANTIC AVENUE,G2,7,1930,0,1,1,271350.0,40.6788294,-73.8828095,on a listed block
3039560025,3021 ATLANTIC AVENUE,I5,8,1930,0,1,1,349200.0,40.6787829,-73.8830331,on a listed block
3039560028,3015 ATLANTIC AVENUE,C7,4,1921,8,9,2,624150.0,40.6786623,-73.8831955,on a listed block
3039560031,265 LINWOOD STREET,B3,1,1901,2,2,1,64140.0,40.6793789,-73.8833709,on a listed block
3039560032,263 LINWOOD STREET,B2,1,1901,2,2,1,37800.0,40.6794393,-73.8833852,on a listed block
3039560037,251 LINWOOD STREET,B2,1,1901,2,2,1,33240.0,40.6797056,-73.8834533,on a listed block
3039560038,249 LINWOOD STREET,A1,1,1901,1,1,1,32400.0,40.679755,-73.883464,on a listed block
3039560048,3024 FULTON STREET,B2,1,1901,2,2,1,45120.0,40.6802048,-73.8831207,on a listed block
3039560061,192 ESSEX STREET,C0,2,1901,3,3,1,82380.0,40.679653,-73.8829703,on a listed block
3039560062,194 ESSEX STREET,A9,1,1899,1,1,1,63000.0,40.6796145,-73.8829054,on a listed block
3039560065,200 ESSEX STREET,B2,1,1901,2,2,1,34740.0,40.6794937,-73.8828732,on a listed block
3039560069,9 FOLSOM PLACE,A5,1,1901,1,1,1,72060.0,40.6794966,-73.8830859,on a listed block
3039560070,7 FOLSOM PLACE,B2,1,1901,2,2,1,45540.0,40.6795132,-73.8831652,on a listed block
3039560071,5 FOLSOM PLACE,A2,1,1901,1,1,1,43560.0,40.6794995,-73.8832553,on a listed block
3039560066,202 ESSEX STREET,C0,2,1901,3,3,2,73140.0,40.6794442,-73.8828625,on a listed block
3039560001,289 LINWOOD STREET,F5,6,1930,0,1,1,123300.0,40.6788792,-73.8832456,on a listed block
3039560056,182 ESSEX STREET,B2,1,1901,2,2,1,66660.0,40.6798945,-73.8829698,on a listed block
3039560043,3008 FULTON STREET,K1,5,1986,0,2,1,791550.0,40.6800541,-73.883377,on a listed block
3039560057,184 ESSEX STREET,B2,1,1901,2,2,1,72420.0,40.6798478,-73.8829555,on a listed block
3039560039,247 LINWOOD STREET,A1,1,1901,1,1,1,32520.0,40.6798017,-73.8834783,on a listed block
3039560034,259 LINWOOD STREET,A1,1,1901,1,1,1,34860.0,40.6795436,-73.8834103,on a listed block
3039560035,257 LINWOOD STREET,A1,1,1901,1,1,1,36240.0,40.6795985,-73.8834246,on a listed block
3039560036,255 LINWOOD STREET,A1,1,1901,1,1,1,41640.0,40.6796534,-73.8834389,on a listed block
3039560055,180 ESSEX STREET,B3,1,1901,2,2,1,67140.0,40.6799412,-73.8829806,on a listed block
3039560059,ESSEX STREET,C1,2,2021,15,15,1,604350.0,40.6797547,-73.8831143,on a listed block
3039560050,3028 FULTON STREET,S2,4,1901,2,3,1,83160.0,40.6802212,-73.8830414,on a listed block
3039560009,10 FOLSOM PLACE,B3,1,1901,2,2,2,48540.0,40.6791068,-73.8830613,on a listed block
3039560012,14 FOLSOM PLACE,B2,1,1901,2,2,1,62460.0,40.6791588,-73.8829098,on a listed block
3039560014,18 FOLSOM PLACE,B2,1,1901,2,2,1,61800.0,40.6791752,-73.882798,on a listed block
3039560024,3027 ATLANTIC AVENUE,G2,7,1930,0,1,1,153000.0,40.6788102,-73.8828996,on a listed block
3039560015,20 FOLSOM PLACE,B2,1,1901,2,2,1,55500.0,40.6791834,-73.8827403,on a listed block
3039560051,3030 FULTON STREET,QG,9,0,0,0,0,18600.0,40.6802623,-73.8829836,on a listed block
3039560040,245 LINWOOD STREET,G7,10,0,0,0,1,44550.0,40.6798511,-73.8834891,on a listed block
