bbl,is_block,n_hdb_jobs,in_housingdb,in_housingdb_direct,hdb_match_via,has_historic_bbl,historic_bbl,reached_only_via_historic
2031950066,False,0,False,False,,False,,False
2031950069,False,0,False,False,,False,,False
2031950083,False,0,False,False,,False,,False
2031950084,False,0,False,False,,False,,False
2031950090,False,0,False,False,,False,,False
2031950092,False,0,False,False,,False,,False
2031960036,False,0,False,False,,False,,False
2031960038,False,0,False,False,,False,,False
2031960081,False,0,False,False,,False,,False
2031960086,False,0,False,False,,False,,False
2031970029,False,0,False,False,,False,,False
2031970033,False,0,False,False,,False,,False
2031970035,False,0,False,False,,False,,False
2031980077,False,0,False,False,,False,,False
2031980078,False,0,False,False,,False,,False
2031980081,False,0,False,False,,False,,False
2031980087,False,0,False,False,,False,,False
2031980088,False,0,False,False,,False,,False
2031980089,False,0,False,False,,False,,False
2031980090,False,0,False,False,,False,,False
2031980091,False,0,False,False,,False,,False
2031980102,False,0,False,False,,False,,False
2031980105,False,0,False,False,,False,,False
2031980148,False,0,False,False,,False,,False
2031980149,False,0,False,False,,False,,False
2031980150,False,0,False,False,,False,,False
