bin,base_bbl,address,construction_year,yearbuilt,bldgclass,landuse,is_apartment,res_units,unitstotal,numbldgs,assesstot,dob_is_apartment,dob_dwelling_units,dob_first_filed,dob_nb_filed,dob_nb_signoff,n_dob_filings,has_dob_record,the_geom_wkt
2129188,2028550001,1237 JEROME AVENUE,2018.0,2018.0,G3,7,False,0.0,1.0,2.0,379800.0,False,,2016-06-14,2016-06-14,,3.0,True,"MULTIPOLYGON (((-73.921598 40.836983, -73.921597 40.837, -73.92157 40.837018, -73.921447 40.836911, -73.921485 40.836885, -73.921598 40.836983)))"
2129189,2028550001,1237 JEROME AVENUE,2018.0,2018.0,G3,7,False,0.0,1.0,2.0,379800.0,False,,,,,,False,"MULTIPOLYGON (((-73.92172 40.836747, -73.921776 40.836795, -73.921643 40.836883, -73.921705 40.836937, -73.92164 40.83698, -73.921523 40.836878, -73.92172 40.836747)))"
2008274,2028550008,1241 JEROME AVENUE,1925.0,1925.0,G2,7,False,0.0,1.0,1.0,196650.0,False,,2006-08-14,,,2.0,True,"MULTIPOLYGON (((-73.921351 40.837033, -73.921351 40.837033, -73.921313 40.837, -73.921374 40.836959, -73.921447 40.836911, -73.92157 40.837018, -73.921628 40.837069, -73.92163 40.83707, -73.921571 40.837186, -73.921567 40.837193, -73.921549 40.837205, -73.921515 40.837176, -73.921351 40.837033)))"
2008275,2028550012,1245 JEROME AVENUE,1934.0,1934.0,G1,10,False,0.0,2.0,1.0,131400.0,False,,2002-11-22,,,2.0,True,"MULTIPOLYGON (((-73.921351 40.837033, -73.921515 40.837176, -73.921549 40.837205, -73.921552 40.837216, -73.921518 40.837272, -73.921486 40.837244, -73.921341 40.837118, -73.921315 40.837095, -73.921351 40.837034, -73.921351 40.837033)))"
2008276,2028550015,1251 JEROME AVENUE,1928.0,1928.0,GW,5,False,0.0,1.0,1.0,112500.0,False,,,,,,False,"MULTIPOLYGON (((-73.92111 40.837184, -73.921095 40.837171, -73.921077 40.837156, -73.921099 40.837141, -73.921145 40.837111, -73.921428 40.837357, -73.92136 40.837402, -73.92111 40.837184)))"
2008277,2028550016,1253 JEROME AVENUE,2007.0,2007.0,E7,6,False,0.0,1.0,1.0,3223800.0,False,0.0,2006-10-27,2006-10-27,2009-08-21 00:00:00,10.0,True,"MULTIPOLYGON (((-73.920868 40.837294, -73.921077 40.837156, -73.921095 40.837171, -73.92111 40.837184, -73.921208 40.837269, -73.921229 40.837288, -73.921245 40.837302, -73.921273 40.837326, -73.921352 40.837395, -73.921355 40.837397, -73.92136 40.837402, -73.921354 40.837406, -73.921394 40.837441, -73.92143 40.837472, -73.921424 40.837483, -73.921318 40.837686, -73.921142 40.837533, -73.921101 40.837497, -73.921091 40.837488, -73.921008 40.837416, -73.920999 40.837408, -73.920868 40.837294)))"
2008278,2028550020,8 WEST 169 STREET,1928.0,1928.0,C7,4,True,53.0,54.0,1.0,1431000.0,True,53.0,2004-10-27,,,10.0,True,"MULTIPOLYGON (((-73.920982 40.83779, -73.921068 40.837732, -73.921082 40.837744, -73.921138 40.837707, -73.921084 40.83766, -73.921028 40.837697, -73.921034 40.837703, -73.920992 40.837731, -73.920948 40.83776, -73.920846 40.837672, -73.920922 40.837621, -73.920939 40.837636, -73.921081 40.837541, -73.921086 40.837538, -73.921184 40.837622, -73.921191 40.837618, -73.921261 40.837679, -73.921303 40.837716, -73.921304 40.837717, -73.921302 40.837718, -73.921287 40.837728, -73.921294 40.837733, -73.921296 40.837735, -73.921291 40.837738, -73.921166 40.837821, -73.921082 40.837877, -73.920982 40.83779)))"
2008279,2028550025,1265 JEROME AVENUE,1921.0,1921.0,C7,4,True,19.0,21.0,1.0,661050.0,True,19.0,2004-08-18,,,14.0,True,"MULTIPOLYGON (((-73.920733 40.837384, -73.920787 40.837431, -73.920791 40.837434, -73.920781 40.837452, -73.920786 40.837457, -73.920871 40.837531, -73.920938 40.837589, -73.920832 40.837659, -73.920814 40.837643, -73.920661 40.83751, -73.920609 40.837466, -73.920733 40.837384)))"
2008280,2028550027,1263 JEROME AVENUE,1921.0,1921.0,C7,4,True,10.0,12.0,1.0,395550.0,True,10.0,2001-10-05,,,5.0,True,"MULTIPOLYGON (((-73.920791 40.837434, -73.920787 40.837431, -73.920733 40.837384, -73.920746 40.837375, -73.920799 40.83734, -73.920848 40.837382, -73.920855 40.837388, -73.920848 40.837399, -73.920885 40.83743, -73.920901 40.837429, -73.920913 40.837439, -73.920926 40.83745, -73.920943 40.837465, -73.920938 40.837478, -73.920988 40.837522, -73.920942 40.837552, -73.9209 40.837516, -73.9209 40.837509, -73.92088 40.837509, -73.920876 40.837509, -73.920834 40.837473, -73.920841 40.837461, -73.920813 40.837437, -73.9208 40.837434, -73.920796 40.837431, -73.920791 40.837434)))"
2008281,2028550028,1261 JEROME AVENUE,1926.0,1926.0,G2,7,False,0.0,1.0,1.0,83700.0,False,,,2025-12-10,,,False,"MULTIPOLYGON (((-73.920799 40.83734, -73.920868 40.837294, -73.920999 40.837408, -73.921008 40.837416, -73.921091 40.837488, -73.921101 40.837497, -73.921092 40.837503, -73.921032 40.837543, -73.920943 40.837465, -73.920926 40.83745, -73.920913 40.837439, -73.920901 40.837429, -73.920855 40.837388, -73.920848 40.837382, -73.920799 40.83734)))"
