Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,Latitude,Longitude,hdb_completed,hdb_address,scope_via,pluto_current_bbl,bbl_sunsetted
220586248,Demolition,5. Completed Construction,2129190,2028650122,2,31,FEATHERBED LANE,2017.0,2017.0,1.0,0,-1.0,,2017-06-15,2017-08-25,2017-08-25,V0,FULL DEMOLITION OF A 3 STORY FRAME HOUSE IN CONJUNCTION WITH DEMOLITION #220601025,40.846117,-73.914961,True,31 FEATHERBED LANE,bbl_block,2028650122,False
220649626,Demolition,5. Completed Construction,2131062,2028720120,2,1472,SHAKESPEARE AVENUE,2018.0,2018.0,1.0,0,-1.0,,2018-05-17,2018-10-03,2018-10-03,D1,CONTROLLED DEMOLITION WITH ASBESTOS IN PLACE.,40.843708,-73.919695,True,1472 SHAKESPEARE AVENUE,bbl_block,2028720120,False
220609429,Demolition,5. Completed Construction,2014087,2031870036,2,2351,WALTON AVENUE,2018.0,2018.0,2.0,0,-2.0,,2017-08-02,2018-09-11,2018-09-11,D1,"FILE HEREWITH A FULL HAND DEMOLITION FOR 2 1/2 STORY BRICK, STUCCO AND DEMO OF FOUNDATION AND FOOTINGS WORK TO BE DONE UNDER THIS APPLICATION.",40.8600002764684,-73.9020821456303,True,2351 WALTON AVENUE,bbl_block,2031870036,False
220696511,Demolition,5. Completed Construction,2129668,2028720148,2,1544,SHAKESPEARE AVENUE,2019.0,2019.0,1.0,0,-1.0,,2019-04-03,2019-12-10,2019-12-10,D7,PROPOSED FULL DEMOLITION OF TWO STORY BUILDING,40.845725,-73.918937,True,1544 SHAKESPEARE AVENUE,bbl_block,2028727501,True
220696548,Demolition,5. Completed Construction,2129668,2028720148,2,1542,SHAKESPEARE AVENUE,2019.0,2019.0,2.0,0,-2.0,,2019-04-03,2019-12-10,2019-12-10,D7,PROPOSED FULL DEMOLITION OF THREE STORY BUILDING,40.845725,-73.918937,True,1542 SHAKESPEARE AVENUE,bbl_block,2028727501,True
220707885,New Building,3. Permitted for Construction,2091247,2025060081,2,1256,SHAKESPEARE AVENUE,,2024.0,0.0,13,13.0,,2019-06-28,2024-08-26,,C1,,40.838511,-73.922719,False,1256 SHAKESPEARE AVENUE,bbl_block,2025060081,False
220718043,New Building,5. Completed Construction,2088424,2031980045,2,29,EVELYN PLACE,2022.0,2021.0,0.0,11,11.0,11.0,2019-12-17,2021-12-07,2022-11-04,C1,,40.85958917403497,-73.90459839369528,True,29 EVELYN PLACE,bbl_block,2031980045,False
220720138,Demolition,5. Completed Construction,2008433,2028650134,2,1600,MACOMBS ROAD,2021.0,2021.0,0.0,0,0.0,,2020-05-13,2021-10-28,2021-10-28,V0,"FULL DEMOLITION OF THREE STORY STRUCTURE USING HAND HELD AND MECHANICAL TO ASSIST WITH STRUCTURAL ON GRADE, LOADING OUT OF DEBRIS AND BACK-FILL SITE.",40.845808,-73.916465,True,1600 MACOMBS ROAD,bbl_block,2028650134,False
220736498,Demolition,5. Completed Construction,2091246,2025060081,2,1256 REAR,SHAKESPEARE AVENUE,2022.0,2022.0,1.0,0,-1.0,,2021-01-11,2022-10-27,2022-10-27,C1,FULL DEMOLITION OF 2 STORY FRAME BUILDING IN THE REAR OF PROPERTY.,40.838511,-73.922719,True,1256 REAR SHAKESPEARE AVENUE,bbl_block,2025060081,False
220737941,Demolition,5. Completed Construction,2130902,2028720274,2,1548,JESUP AVENUE,2022.0,2022.0,1.0,0,-1.0,,2021-05-20,2022-01-20,2022-01-20,C1,DEMOLITION OF A TWO STORY HOUSE,40.844599,-73.918162,True,1548 JESUP AVENUE,bbl_block,2028720274,False
