year,net_units,nb_units,demo_units,buildings,nb_buildings,demolished,jobs
2010,59,59,0,4,2,0,4
2011,5,4,0,4,2,0,4
2012,0,0,0,1,0,0,1
2013,11,9,0,4,3,0,4
2014,0,0,0,0,0,0,0
2015,6,6,0,2,2,0,2
2016,0,0,0,1,0,0,1
2017,0,0,0,0,0,0,0
2018,-4,0,-4,2,0,2,3
2019,16,18,-2,9,8,1,9
2020,225,218,0,5,4,0,5
2021,31,23,0,5,3,0,5
2022,-4,3,-7,5,1,4,6
2023,40,35,0,5,3,0,5
2024,412,409,-1,4,2,1,4
2025,967,963,-2,8,5,1,8
