bin,base_bbl,input_list,resolution,last_status_type,address,construction_year,yearbuilt,bldgclass,landuse,is_apartment,res_units,unitstotal,numbldgs,assesstot,dob_is_apartment,dob_dwelling_units,dob_nb_filed,dob_nb_signoff,n_dob_filings,has_dob_record,the_geom_wkt
3038812,3014440015,unverified,block_expanded,Constructed,2406 PACIFIC STREET,1910.0,1910.0,A5,1,False,1.0,1.0,1.0,50400.0,False,1.0,,,1.0,True,"MULTIPOLYGON (((-73.90559 40.67515, -73.905598 40.675072, -73.905602 40.675033, -73.905603 40.675016, -73.905634 40.675017, -73.905632 40.675034, -73.905632 40.675036, -73.905671 40.675038, -73.905664 40.675115, -73.90566 40.675154, -73.90559 40.67515)))"
3038813,3014440016,unverified,block_expanded,Constructed,2408 PACIFIC STREET,1910.0,1910.0,B2,1,False,2.0,2.0,1.0,59760.0,False,,,,,False,"MULTIPOLYGON (((-73.905528 40.675146, -73.905534 40.675093, -73.90554 40.67503, -73.905542 40.675009, -73.905564 40.67501, -73.905562 40.675031, -73.905602 40.675033, -73.905598 40.675072, -73.90559 40.67515, -73.905528 40.675146)))"
3038814,3014440017,unverified,block_expanded,Constructed,2410 PACIFIC STREET,1910.0,1910.0,B2,1,False,2.0,2.0,1.0,57360.0,False,,,,,False,"MULTIPOLYGON (((-73.905466 40.675143, -73.905471 40.675094, -73.905478 40.675026, -73.90554 40.67503, -73.905534 40.675093, -73.905528 40.675146, -73.905466 40.675143)))"
3038815,3014440018,unverified,block_expanded,Constructed,2412 PACIFIC STREET,1910.0,1910.0,B2,1,False,2.0,2.0,1.0,50820.0,False,,,,,False,"MULTIPOLYGON (((-73.905403 40.675116, -73.905405 40.675088, -73.905412 40.675023, -73.905478 40.675026, -73.905471 40.675094, -73.905466 40.675143, -73.9054 40.675139, -73.905403 40.675116)))"
3038816,3014440019,unverified,block_expanded,Constructed,2414 PACIFIC STREET,1910.0,1910.0,B2,1,False,2.0,2.0,1.0,52680.0,False,2.0,,,4.0,True,"MULTIPOLYGON (((-73.905337 40.675113, -73.90534 40.675081, -73.905347 40.675014, -73.905412 40.675018, -73.905412 40.675023, -73.905405 40.675088, -73.905403 40.675116, -73.905337 40.675113)))"
3038817,3014440020,unverified,block_expanded,Constructed,2416 PACIFIC STREET,1910.0,1910.0,C0,2,True,3.0,3.0,1.0,57840.0,False,,,,,False,"MULTIPOLYGON (((-73.905347 40.675014, -73.90534 40.675081, -73.905337 40.675113, -73.905273 40.675109, -73.905277 40.675074, -73.905283 40.675015, -73.905306 40.675017, -73.905308 40.674994, -73.905348 40.674996, -73.905347 40.675014)))"
3038818,3014440021,unverified,block_expanded,Constructed,2418 PACIFIC STREET,1930.0,1930.0,G1,10,False,0.0,1.0,1.0,48600.0,False,,,,,False,"MULTIPOLYGON (((-73.905202 40.675127, -73.905208 40.675068, -73.905214 40.675008, -73.905216 40.674993, -73.905281 40.674997, -73.905273 40.675074, -73.905267 40.675131, -73.905202 40.675127)))"
3038819,3014440022,unverified,block_expanded,Constructed,2420 PACIFIC STREET,1927.0,1927.0,B9,1,False,2.0,2.0,1.0,61680.0,False,,,,,False,"MULTIPOLYGON (((-73.90514 40.675124, -73.905145 40.67508, -73.905149 40.675038, -73.90515 40.675025, -73.905193 40.675028, -73.905195 40.675007, -73.905214 40.675008, -73.905208 40.675068, -73.905202 40.675127, -73.90514 40.675124)))"
3379453,3014440023,unverified,block_expanded,Constructed,1717 EAST NEW YORK AVENUE,1901.0,1901.0,B9,1,False,2.0,2.0,2.0,58860.0,False,,,,,False,"MULTIPOLYGON (((-73.905078 40.67512, -73.905079 40.675113, -73.905082 40.675088, -73.905087 40.675034, -73.905149 40.675038, -73.905145 40.67508, -73.90514 40.675124, -73.905078 40.67512)))"
3038820,3014440023,unverified,block_expanded,Constructed,1717 EAST NEW YORK AVENUE,1901.0,1901.0,B9,1,False,2.0,2.0,2.0,58860.0,False,,,,,False,"MULTIPOLYGON (((-73.905038 40.674949, -73.905099 40.674927, -73.905147 40.675002, -73.905087 40.675024, -73.905038 40.674949)))"
