bbl,address,bldgclass,landuse,yearbuilt,unitsres,unitstotal,numbldgs,assesstot,latitude,longitude,source
2028490054,1710 TOWNSEND AVENUE,B1,1,1920,2,2,1,54960.0,40.8464492,-73.9117691,on a listed block
2028480024,1677 TOWNSEND AVENUE,D1,3,2022,35,35,1,2408400.0,40.8459367,-73.9127782,on a listed block
2028490062,1724 TOWNSEND AVENUE,B1,1,1930,2,2,1,53820.0,40.8468497,-73.911483,on a listed block
2028480054,50 CLIFFORD PLACE,C1,2,1920,19,19,1,568800.0,40.8459665,-73.9122721,on a listed block
2028490033,1711 TOWNSEND AVENUE,C1,2,1926,21,21,3,649800.0,40.846746,-73.9122024,on a listed block
2028490080,65 CLIFFORD PLACE,B1,1,1920,2,2,2,49500.0,40.8461059,-73.9114334,on a listed block
2028490037,1707 TOWNSEND AVENUE,M9,8,1920,2,2,2,363150.0,40.8465896,-73.9123002,on a listed block
2028490063,1728 TOWNSEND AVENUE,D1,3,2020,22,22,1,944100.0,40.8469238,-73.9114287,on a listed block
2028490070,1727 WALTON AVENUE,C1,2,1925,56,56,1,1091700.0,40.8466766,-73.9111868,on a listed block
2028490076,1715 WALTON AVENUE,C1,2,1925,46,46,1,1114650.0,40.846405,-73.9113788,on a listed block
2028480020,12 CLIFFORD PLACE,C1,2,1927,27,27,1,563850.0,40.8461891,-73.9125971,on a listed block
2028480023,1681 TOWNSEND AVENUE,B1,1,1920,2,2,1,59520.0,40.8460135,-73.9127238,on a listed block
2028480053,1676 TOWNSEND AVENUE,B1,1,1920,2,2,1,60840.0,40.8457607,-73.9122579,on a listed block
2028490083,59 CLIFFORD PLACE,C1,2,1920,10,10,2,329850.0,40.8462076,-73.9116754,on a listed block
2028440048,TOWNSEND AVENUE,V0,11,0,0,0,0,60.0,40.8415637,-73.9154656,on a listed block
2025060091,1280 SHAKESPEARE AVENUE,QG,9,0,0,0,0,15480.0,40.8390434,-73.9223534,on a listed block
2028490081,63 CLIFFORD PLACE,B1,1,1920,2,2,2,52020.0,40.8461416,-73.9115129,on a listed block
2028490061,1722 TOWNSEND AVENUE,B1,1,1930,2,2,2,53820.0,40.8467757,-73.9115373,on a listed block
2028490058,1716 TOWNSEND AVENUE,B1,1,1920,2,2,1,54960.0,40.8466303,-73.9116387,on a listed block
2031860073,WALTON AVENUE,G7,10,0,0,0,0,265050.0,40.8576685,-73.9035192,on a listed block
2028440117,JEROME AVENUE,V1,11,0,0,0,0,900.0,40.8419265,-73.9162422,on a listed block
2031980013,2308 GRAND AVENUE,V0,11,0,0,0,0,10980.0,40.8603646,-73.9045781,on a listed block
2031980014,2310 GRAND AVENUE,A5,1,1910,1,1,1,40620.0,40.860425,-73.9045383,on a listed block
2031980040,32 NORTH STREET,C0,2,1899,3,3,1,59820.0,40.8599255,-73.9045932,on a listed block
2031980044,2323 DAVIDSON AVENUE,C1,2,1905,11,11,1,356400.0,40.8595796,-73.9044853,on a listed block
2031980031,2357 DAVIDSON AVENUE,C1,2,1921,35,35,1,594000.0,40.8605207,-73.9040573,on a listed block
2031850010,2161 WALTON AVENUE,B1,1,1901,2,2,1,33000.0,40.8557783,-73.9046498,on a listed block
2028727501,1544 SHAKESPEARE AVENUE,RM,4,2022,116,117,1,10264501.0,40.8457244,-73.9189373,on a listed block
2028720263,JESUP AVENUE,Q1,9,1930,0,0,1,38655.0,40.8452927,-73.9178571,on a listed block
