Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,hdb_completed,hdb_address,hdb_match_via,hdb_bbl_used,our_bbl,hdb_bbl_is_historic,matched_bin,bin_attach
B00839230,Demolition,5. Completed Construction,3094594,3042090039,3,2611,PITKIN AVENUE,2024.0,2024.0,2.0,0,-2.0,,2023-04-03,2024-06-04,2024-06-04,3 Family,Full Demolition of building 2 floors plus cellar,True,2611 PITKIN AVENUE,bbl,3042090039,3042090039,False,,no_footprint
B00839331,Demolition,5. Completed Construction,3094595,3042090040,3,2609,PITKIN AVENUE,2024.0,2024.0,1.0,0,-1.0,,2023-04-03,2024-06-04,2024-06-04,Other,Full Demolition of building 2 floors plus cellar,True,2609 PITKIN AVENUE,bbl,3042090040,3042090040,False,,no_footprint
B00839367,Demolition,5. Completed Construction,3094596,3042090041,3,2605,PITKIN AVENUE,2024.0,2024.0,1.0,0,-1.0,,2023-03-30,2024-06-04,2024-06-04,Other,Full Demolition of building 2 floors plus cellar,True,2605 PITKIN AVENUE,bbl,3042090041,3042090041,False,,no_footprint
B00840229,Alteration,5. Completed Construction,3336137,3039460037,3,2789,ATLANTIC AVENUE,2024.0,2023.0,2.0,0,-2.0,0.0,2023-03-28,2023-07-26,2024-04-22,Other,Conversion of an existing 3-sty and cellar mixed use building into a daycare facility. Obtain a new certificate of occupancy.,True,2789 ATLANTIC AVENUE,bin,3039460037,3039460037,False,3336137,hdb_bin
B00867121,Alteration,2. Approved Application,3093161,3041540019,3,303,LOGAN STREET,,,1.0,2,1.0,,2023-05-16,,,2 Family,Propose to convert from 1 to 2 family house propose vertical extension propose new entrance from rear to cellar  propose new front entrance to cellar  propose new driveway,False,303 LOGAN STREET,bin,3041540019,3041540019,False,3093161,hdb_bin
B00891256,New Building,1. Filed Application,3421672,3040150015,3,433,WARWICK STREET,,,0.0,3,3.0,,2023-06-28,,,3 Family,PROPOSED (3) THREE STORY & CELLAR (3) FAMILY DWELLING AS PER PLANS FILED HEREWITH.,False,433 WARWICK STREET,bbl,3040150015,3040150015,False,,no_footprint
B00899061,New Building,3. Permitted for Construction,3429638,3041900012,3,391,LOGAN STREET,,2024.0,0.0,2,2.0,,2023-07-13,2024-03-14,,3 Family,Application to file new two family house as per drawings.,False,391 LOGAN STREET,bbl,3041900012,3041900012,False,,no_footprint
B00909222,New Building,3. Permitted for Construction,3843137,3036640047,3,2757,FULTON STREET,,2025.0,0.0,8,8.0,,2023-08-01,2025-04-22,,Other,8 DU 4-STY NB. NO CHANGE TO USE EGRESS OR OCCUPANCY.,False,2757 FULTON STREET,bbl,3036640047,3036640047,False,3430480,lot_single_bin
B00910817,New Building,3. Permitted for Construction,3083216,3036640046,3,2759,FULTON STREET,,2025.0,0.0,8,8.0,,2023-08-01,2025-04-22,,Other,PROPOSE 8 DU 4-STY MIXED USE NB.,False,2759 FULTON STREET,bin,3036640046,3036640046,False,3083216,hdb_bin
B00924193,Alteration,1. Filed Application,3087909,3039520004,3,245,WARWICK STREET,,,2.0,2,0.0,,2023-10-03,,,2 Family,,False,245 WARWICK STREET,bin,3039520004,3039520004,False,3087909,hdb_bin
B00936591,Demolition,5. Completed Construction,3380644,3041930129,3,30,DOSCHER STREET,2025.0,2025.0,2.0,0,-2.0,,2024-11-07,2025-11-07,2025-11-07,1 Family,,True,30 DOSCHER STREET,bbl,3041930129,3041930129,False,,no_footprint
B00938073,Demolition,5. Completed Construction,3088579,3039810035,3,605,GLENMORE AVENUE,2024.0,2024.0,1.0,0,-1.0,,2023-11-01,2024-10-15,2024-10-15,2 Family,full demolition of 3 1/2 story structure,True,605 GLENMORE AVENUE,bbl,3039810035,3039810035,False,3380485,lot_single_bin
B00931958,New Building,2. Approved Application,3429729,3040130016,3,352,JEROME STREET,,,0.0,19,19.0,,2023-09-20,,,Other,PROPOSED 7-MIXED USE NEW BUILDING WITH CELLAR.,False,352 JEROME STREET,bbl,3040130016,3040130016,False,,no_footprint
B00935073,Alteration,3. Permitted for Construction,3042079,3015440048,3,111,TRUXTON STREET,,,3.0,3,0.0,,2023-10-06,,,3 Family,Rear horizontal enlargement. Interior demolition work as per plan. General construction work as per plan. New Certificate of Occupancy.,False,111 TRUXTON STREET,bin,3015440048,3015440048,False,3042079,hdb_bin
B00942812,New Building,3. Permitted for Construction,3094594,3042090039,3,2611,PITKIN AVENUE,,2024.0,0.0,39,39.0,,2024-01-11,2024-12-05,,Other,New 8 story building,False,2611 PITKIN AVENUE,bbl,3042090039,3042090039,False,,no_footprint
B00972461,New Building,3. Permitted for Construction,3429718,3041430003,3,275,CHESTNUT STREET,,2025.0,0.0,327,327.0,,2024-01-29,2025-09-25,,Other,CONSTRUCT NEW FOURTEEN (14) STORY MIXED-USE BUILDING AS PER PLANS FILED.,False,275 CHESTNUT STREET,bbl,3041430003,3041430003,False,,no_footprint
B00961928,Alteration,1. Filed Application,3038828,3014440035,3,1709,EAST NEW YORK AVENUE,,,2.0,3,1.0,,2024-01-04,,,3 Family,Proposed conversion of existing two [2] family + commercial building to a three [3] family residential use building.,False,1709 EAST NEW YORK AVENUE,bin,3014440035,3014440035,False,3038828,hdb_bin
B00961930,New Building,1. Filed Application,3853557,3039570004,3,207,ESSEX STREET,,,0.0,4,4.0,,2023-11-16,,,Other,PROPOSED NEW FOUR (4) FAMILY RESIDENTIAL BUILDING,False,207 ESSEX STREET,bbl,3039570004,3039570004,False,,no_footprint
B00964643,Alteration,2. Approved Application,3088460,3039760053,3,50,MILFORD STREET,,,1.0,2,1.0,,2023-12-18,,,2 Family,INTERIOR RENOVATION WITH INSTALLTION OF NEW OPENING ON 1ST FLOOR TO OBTAIN CERTIFICATE OF OCCUPANCY FOR 2 FAMILY HOUSE,False,50 MILFORD STREET,bin,3039760053,3039760053,False,3088460,hdb_bin
B00990896,Alteration,5. Completed Construction,3327134,3039760027,3,19,MONTAUK AVENUE,2025.0,2024.0,0.0,59,59.0,59.0,2024-01-23,2024-05-15,2025-02-25,Other,INTERIOR RENOVATION CONVERTING EXISTING COMMERCIAL 3 STORY BUILDING INTO RESIDENTIAL BUILDING,True,19 MONTAUK AVENUE,bin,3039760027,3039760027,False,3327134,hdb_bin
B01009693,Alteration,5. Completed Construction,3389541,3040120014,3,396,BARBEY STREET,2025.0,2024.0,2.0,10,8.0,10.0,2024-02-26,2024-12-02,2025-03-04,Other,PROPOSING CONVERSION TO AN EXISTING 2 STORY AND BASEMENT RESIDENTIAL BUILDING. EXISTING 2 UNITS PROPOSING TOTAL OF 10 RESIDENTIAL UNITS. NO CHANGE IN BULK.,True,396 BARBEY STREET,bin,3040120014,3040120014,False,3389541,hdb_bin
B01017609,Alteration,3. Permitted for Construction,3094672,3042120028,3,58,DOSCHER STREET,,2024.0,1.0,2,1.0,,2024-03-15,2024-11-12,,1 Family,FILED FOR HORIZONTAL EXTENSION AND CONVERSION EXISTING (1) FAMILY DWELLING TO (2) FAMILY DWELLING AS PER PLAN. OBTAIN NEW C.OF O.,False,58 DOSCHER STREET,bin,3042120028,3042120028,False,3094672,hdb_bin
B01020374,Alteration,2. Approved Application,3094265,3041920036,3,418,CHESTNUT STREET,,,2.0,2,0.0,,2024-05-02,,,2 Family,Proposed alteration to two (2) family house to create lower-level accessory use cellar as per plans INCLUDING NEW VESTIBUL ENLARGEMENT AT REAR YARD (41 Sq. Ft.).,False,418 CHESTNUT STREET,bin,3041920036,3041920036,False,3094265,hdb_bin
B01031333,Alteration,1. Filed Application,3341486,3039870014,3,728,LIBERTY AVENUE,,,6.0,4,-2.0,,2025-03-07,,,Other,Interior work filed separately under separate application(s).  Acquisition of new Certificate of Occupancy.,False,728 LIBERTY AVENUE,bin,3039870014,3039870014,False,3341486,hdb_bin
B00993118,New Building,3. Permitted for Construction,3328369,3039630021,3,204,SCHENCK AVENUE,,2024.0,0.0,7,7.0,,2024-01-26,2024-04-18,,Other,NEW BUILDING APPLICATION - PROPOSING SEVEN (7)  FAMILY  FOUR (4) STORY WITH CELLAR RESIDENTIAL BUILDING,False,204 SCHENCK AVENUE,bbl,3039630021,3039630021,False,,no_footprint
B00994203,Alteration,5. Completed Construction,3088454,3039760043,3,22,MILFORD STREET,2024.0,2024.0,0.0,43,43.0,43.0,2024-01-23,2024-05-15,2024-12-26,Other,PROPOSED INTERIOR RENOVATION CONVERTING EXISTING COMMERCIAL BUILDING INTO A 3 STORY RESIDENTIAL BUILDING,True,22 MILFORD STREET,bin,3039760043,3039760043,False,3088454,hdb_bin
B01034786,Alteration,1. Filed Application,3088255,3039610009,3,2770,ATLANTIC AVENUE,,,2.0,2,0.0,,2024-05-31,,,Other,PROPOSE TO CONVERT EXISTING  EATING AND DRINKING ESTABLISHMENT  AT FIRST FLOOR TO TIRE REPAIR SHOP.,False,2770 ATLANTIC AVENUE,bin,3039610009,3039610009,False,3088255,hdb_bin
B01044650,New Building,1. Filed Application,3088440,3039760009,3,65,MONTAUK AVENUE,,,0.0,1,1.0,,2024-11-27,,,2 Family,PROPOSED NEW 3 STORY RESIDENTIAL BUILDING,False,65 MONTAUK AVENUE,bin,3039760009,3039760009,False,3088440,hdb_bin
B01076614,Alteration,1. Filed Application,3391080,3039940116,3,332,HENDRIX STREET,,,2.0,3,1.0,,2024-08-13,,,3 Family,FILING FOR CONVERTING MEZZANINE INTO 3RD FLOOR AND CONVERT FROM 2 TO 3 CLASS 'A' APARTMENTS,False,332 HENDRIX STREET,bin,3039940116,3039940116,False,3391080,hdb_bin
B01088015,Demolition,5. Completed Construction,3093133,3041530044,3,278,LOGAN STREET,2024.0,2024.0,1.0,0,-1.0,,2024-07-30,2024-11-21,2024-11-21,1 Family,hand demolition of FULLY DETACHED RESIDENTIAL 1 FAMILY HOUSE,True,278 LOGAN STREET,bbl,3041530044,3041530044,False,,no_footprint
B01091813,New Building,1. Filed Application,3824242,3042100034,3,2647,PITKIN AVENUE,,,0.0,7,7.0,,2024-09-26,,,Other,Proposed four storey residential and commercial building.,False,2647 PITKIN AVENUE,bbl,3042100034,3042100034,False,,no_footprint
B01098077,Alteration,3. Permitted for Construction,3088474,3039760081,3,87,MONTAUK AVENUE,,2025.0,2.0,1,-1.0,,2024-09-11,2025-08-14,,Other,PROPOSED ENLARGEMENT AND CONVERSION OF A THREE STORY AND ATTIC TWO FAMILY BUILDING TO A ONE FAMILY AND HOUSE OF WORSHIP.,False,87 MONTAUK AVENUE,bin,3039760081,3039760081,False,3088474,hdb_bin
B01099325,Alteration,2. Approved Application,3094701,3042150007,3,395,PINE STREET,,,1.0,2,1.0,,2024-11-19,,,2 Family,Propose to convert from one family house to two family dwelling propose vertical and horizontal extension new entrance to cellar from rear.,False,395 PINE STREET,bin,3042150007,3042150007,False,3094701,hdb_bin
B01111427,New Building,3. Permitted for Construction,3816616,3041920040,3,977,GLENMORE AVENUE,,2025.0,0.0,2,2.0,,2024-11-05,2025-09-23,,2 Family,NEW BUILDING - 2 FAMILIES,False,977 GLENMORE AVENUE,bbl,3041920040,3041920040,False,,no_footprint
B01112739,New Building,3. Permitted for Construction,3430014,3039730050,3,60,BERRIMAN STREET,,2025.0,0.0,8,8.0,,2024-10-02,2025-05-23,,Other,NEW BUILDING - EIGHT FAMILY FOUR STORY WITH CELLAR- RESIDENTIAL BUILDING,False,60 BERRIMAN STREET,bbl,3039730050,3039730050,False,,no_footprint
B01113240,Demolition,5. Completed Construction,3087784,3039480011,3,187,HENDRIX STREET,2024.0,2024.0,3.0,0,-3.0,,2024-10-17,2024-10-22,2024-10-22,3 Family,full demolition under HPD & DOB IED OMO# DP00094 File # E-6964,True,187 HENDRIX STREET,bbl,3039480011,3039480011,False,,no_footprint
B01124307,Alteration,3. Permitted for Construction,3088782,3039940004,3,271,VAN SICLEN AVENUE,,2025.0,2.0,2,0.0,,2024-10-23,2025-10-17,,2 Family,FILING TO OBTAIN A NEW CERTIFICATE OF OCCUPANCY FOR TWO FAMILY. REMOVED REAR EXTENSION & RESOLVED ECB # 39111352Z & 39111351R. PROPOSED WORK CELLAR 1st & 2nd FLOORS TO COMPLY WITH 1968 CODE. ST/GC DEMO ALT #B01060605-I1.,False,271 VAN SICLEN AVENUE,bin,3039940004,3039940004,False,3088782,hdb_bin
B01126206,Alteration,3. Permitted for Construction,3094246,3041920008,3,83,CRYSTAL STREET,,2025.0,0.0,2,2.0,,2024-10-28,2025-05-16,,2 Family,PROPOSED INTERIOR ALTERATION AND HORIZONTAL ENLARGEMENT,False,83 CRYSTAL STREET,bin,3041920008,3041920008,False,3094246,hdb_bin
B01146826,Alteration,1. Filed Application,3088851,3039980015,3,642,GLENMORE AVENUE,,,1.0,2,1.0,,2024-12-04,,,2 Family,Extension and conversion to 2-family dwelling as per submitted drawing. Filing to obtain a new certificate of occupancy. There is no change in use egress and occupancy.,False,642 GLENMORE AVENUE,bin,3039980015,3039980015,False,3088851,hdb_bin
B01147007,New Building,3. Permitted for Construction,3430012,3039990004,3,395,WARWICK STREET,,2025.0,0.0,3,3.0,,2025-01-09,2025-11-10,,3 Family,NEW THREE STORY THREE FAMILY DWELLING.,False,395 WARWICK STREET,bbl,3039990004,3039990004,False,,no_footprint
B01095008,Alteration,1. Filed Application,3083942,3037410015,3,281,WYONA STREET,,,3.0,4,1.0,,2024-08-28,,,Other,Convert existing 3 family building to 4 family work area at 3rd floor only. obtain new C/O.,False,281 WYONA STREET,bin,3037410015,3037410015,False,3083942,hdb_bin
B01139174,New Building,2. Approved Application,3429988,3039730050,3,62,BERRIMAN STREET,,,0.0,17,17.0,,2024-11-07,,,Other,17 FAMILY 5 STORY WITH CELLAR - RESIDENTIAL BUILDING,False,62 BERRIMAN STREET,bbl,3039730050,3039730050,False,,no_footprint
B01149720,New Building,1. Filed Application,3093263,3041620002,3,3320,ATLANTIC AVENUE,,,0.0,33,33.0,,2024-12-05,,,Other,Construct new eight (8) story mixed use building with residential and retail use as per plans filed herewith.,False,3320 ATLANTIC AVENUE,bin,3041620002,3041620002,False,3093263,hdb_bin
B01151079,Alteration,5. Completed Construction,3088877,3039990035,3,2349,PITKIN AVENUE,2025.0,2025.0,3.0,9,6.0,9.0,2024-12-06,2025-03-26,2025-08-29,Other,Interior renovation to increase number of dwelling  units from 3 to 9 units to an existing 3 story building.,True,2349 PITKIN AVENUE,bin,3039990035,3039990035,False,3088877,hdb_bin
B01158510,Demolition,2. Approved Application,3093263,3041620002,3,3320,ATLANTIC AVENUE,,,1.0,0,-1.0,,2025-02-10,,,Other,This job is filed for full demolition work at 3320 Atlantic Avenue BK 11208,False,3320 ATLANTIC AVENUE,bin,3041620002,3041620002,False,3093263,hdb_bin
B01163470,New Building,2. Approved Application,3083849,3037230011,3,265,VERMONT STREET,,,0.0,2,2.0,,2025-02-02,,,2 Family,New 2 family residence,False,265 VERMONT STREET,bbl,3037230011,3037230011,False,,no_footprint
B01165247,Demolition,5. Completed Construction,3087737,3039460002,3,183,MILLER AVENUE,2025.0,2025.0,2.0,0,-2.0,,2025-01-31,2025-03-21,2025-03-21,2 Family,Full demolition of 2 story residential building to comply with NYC HPD Immediate Emergency Declaration for Demolition IED# 18924,True,183 MILLER AVENUE,bin,3039460002,3039460002,False,3087737,hdb_bin
B01143390,Alteration,1. Filed Application,3041976,3015400033,3,236,HULL STREET,,,3.0,0,-3.0,,2025-04-16,,,Other,FILING FOR THE CONVERSION FROM 3 FAMILY DWELLING UNIT TO ROOMING UNIT. NEW C/O IS REQUIRED. WORK WAS DONE UNDER PREVIOUS APPLICATION# B00639112-I1,False,236 HULL STREET,bin,3015400033,3015400033,False,3041976,hdb_bin
B01169553,Alteration,1. Filed Application,3088851,3039980015,3,642,GLENMORE AVENUE,,,0.0,5,5.0,,2025-02-14,,,3 Family,Enlargement and conversion to 5-family dwelling as per submitted drawing. Filing to obtain a new certificate of occupancy.,False,642 GLENMORE AVENUE,bin,3039980015,3039980015,False,3088851,hdb_bin
B01173500,Demolition,3. Permitted for Construction,3083319,3036710042,3,2673,ATLANTIC AVENUE,,2025.0,1.0,0,-1.0,,2025-05-05,2025-07-18,,1 Family,Full demolition to a two story building,False,2673 ATLANTIC AVENUE,bin,3036710042,3036710042,False,3083319,hdb_bin
B01173508,Demolition,3. Permitted for Construction,3083317,3036710040,3,2679,ATLANTIC AVENUE,,2025.0,2.0,0,-2.0,,2025-05-05,2025-07-18,,2 Family,Full demolition to a three story building,False,2679 ATLANTIC AVENUE,bin,3036710040,3036710040,False,3083317,hdb_bin
B01173509,Demolition,3. Permitted for Construction,3083318,3036710041,3,2675,ATLANTIC AVENUE,,2025.0,1.0,0,-1.0,,2025-05-05,2025-07-21,,1 Family,Full demolition to a two story building,False,2675 ATLANTIC AVENUE,bin,3036710041,3036710041,False,3083318,hdb_bin
B01173516,Demolition,3. Permitted for Construction,3339353,3036710038,3,2683,ATLANTIC AVENUE,,2025.0,2.0,0,-2.0,,2025-05-05,2025-07-17,,Other,Full demolition to a three story building,False,2683 ATLANTIC AVENUE,bin,3036710038,3036710038,False,3339353,hdb_bin
B01173517,Demolition,3. Permitted for Construction,3083315,3036710037,3,2689,ATLANTIC AVENUE,,2025.0,1.0,0,-1.0,,2025-05-29,2025-07-18,,1 Family,Full demolition to a two story building,False,2689 ATLANTIC AVENUE,bin,3036710037,3036710037,False,3083315,hdb_bin
B01173531,Demolition,3. Permitted for Construction,3083316,3036710038,3,2681,ATLANTIC AVENUE,,2025.0,2.0,0,-2.0,,2025-05-05,2025-07-24,,Other,Full demolition to a three story building,False,2681 ATLANTIC AVENUE,bin,3036710038,3036710038,False,3083316,hdb_bin
B01161142,New Building,3. Permitted for Construction,3397139,3039600005,3,207,HALE AVENUE,,2025.0,0.0,3,3.0,,2025-01-20,2025-10-31,,3 Family,NEW THREE STORY THREE FAMILY DWELLING.,False,207 HALE AVENUE,bbl,3039600005,3039600005,False,,no_footprint
B01161567,Alteration,2. Approved Application,3088292,3039630026,3,555,LIBERTY AVENUE,,,0.0,39,39.0,,2025-01-02,,,Other,ALTERATION FOR CONVERSION OF EXISTING 2 STORY COMMERCIAL BUILDING. PROPOSED 2 STORY + BAS RESIDENTIAL USE BUILDING.,False,555 LIBERTY AVENUE,bin,3039630026,3039630026,False,3088292,hdb_bin
B01185041,Alteration,3. Permitted for Construction,3336980,3037240029,3,2155,PITKIN AVENUE,,2025.0,16.0,16,0.0,,2025-03-07,2025-10-28,,Other,FILING TO AMEND CURRENT C of O TO CORRECT NUMBER OF PROPOSED PARKING SPACES TO EXSITING PARKING LOT  AS INDICATED. THERE WILL BE NO CHANGE IN USE EGRESS OR OCCUPANCY TO EXISTING RESIDENTIAL BUILDING.,False,2155 PITKIN AVENUE,bin,3037240029,3037240029,False,3336980,hdb_bin
B01203284,New Building,1. Filed Application,3087939,3039520042,3,200,ASHFORD STREET,,,0.0,79,79.0,,2025-06-25,,,Other,(PLEASE ASSIGN TO DEV HUB) PROPOSING NEW 9 STORY AND CELLAR MIXED-USE BUILDING.,False,200 ASHFORD STREET,bin,3039520042,3039520042,False,3087939,hdb_bin
B01200175,New Building,2. Approved Application,3430038,3036710022,3,124,VERMONT STREET,,,0.0,2,2.0,,2025-04-11,,,2 Family,NEW BUILDING - 2 FAMILIES,False,124 VERMONT STREET,bbl,3036710022,3036710022,False,,no_footprint
B01206984,Alteration,1. Filed Application,3336149,3039720020,3,3032,ATLANTIC AVENUE,,,2.0,2,0.0,,2025-07-01,,,2 Family,,False,3032 ATLANTIC AVENUE,bin,3039720020,3039720020,False,3336149,hdb_bin
B01201612,Alteration,1. Filed Application,3042765,3015730021,3,1444,HERKIMER STREET,,,3.0,5,2.0,,2025-07-29,,,Other,PROPOSE TO CONVERT THE EXISTING 3-FAMILY DWELLING UNIT TO A FIVE-FAMILY DWELLING UNIT. INSTALL NEW PARTITIONS FLOORING AND KITCHEN COUNTERS ASSOCIATED PLUMBING FIXTURES FOR ADDITIONAL KITCHENS AND BATHROOMS,False,1444 HERKIMER STREET,bin,3015730021,3015730021,False,3042765,hdb_bin
B01219618,Alteration,2. Approved Application,3088345,3039670033,3,244,ASHFORD STREET,,,0.0,16,16.0,,2025-05-07,,,Other,PROPOSED ALTERATION FROM A 2 STORY BUILDING TO A 4 STORY  RESIDENTIAL BUILDING TOTAL OF 16 DWELLING UNITS.,False,244 ASHFORD STREET,bin,3039670033,3039670033,False,3088345,hdb_bin
B01221545,Alteration,2. Approved Application,3093119,3041530021,3,41,MILFORD STREET,,,1.0,2,1.0,,2025-08-19,,,2 Family,Horizontal Enlargement at Rear with Interior Renovation as Required. Convert 1 DU to  2 DU and Apply for New C of O.,False,41 MILFORD STREET,bin,3041530021,3041530021,False,3093119,hdb_bin
B01225438,New Building,3. Permitted for Construction,3430268,3037080001,3,221,BRADFORD STREET,,2025.0,0.0,14,14.0,,2025-06-11,2025-12-02,,Other,PROPOSED NEW FOUR-STORY RESIDENTIAL BUILDING WITH 14-DWELLING UNITS.,False,221 BRADFORD STREET,bbl,3037080001,3037080001,False,,no_footprint
B01225983,New Building,1. Filed Application,3256546,3039580049,3,229,SHEPHERD AVENUE,,,0.0,99,99.0,,2025-05-23,,,Other,PROPOSED NEW EIGHT STORY MIXED USE BUILDING.,False,229 SHEPHERD AVENUE,bbl,3039580049,3039580049,False,,no_footprint
B01241582,New Building,1. Filed Application,3256546,3039580049,3,240,HIGHLAND PLACE,,,0.0,99,99.0,,2025-06-19,,,Other,PROPOSED NEW EIGHT STORY MIXED USE BUILDING.,False,240 HIGHLAND PLACE,bbl,3039580049,3039580049,False,,no_footprint
B01190040,Alteration,1. Filed Application,3414620,3039960030,3,2295,PITKIN AVENUE,,,2.0,2,0.0,,2025-05-01,,,Other,PROPOSED CONVERSION FROM STORES TO FUNERAL ESTABLISMENT AT 1ST FLOOR.  PROPOSED 2-STY EXTENSION AT REAR OF BUILDING AND INTERNAL RENOVATION THROUGHOUT.,False,2295 PITKIN AVENUE,bin,3039960030,3039960030,False,3414620,hdb_bin
B01232724,New Building,1. Filed Application,3088731,3039890032,3,803,GLENMORE AVENUE,,,0.0,10,10.0,,2025-06-16,,,Other,PROPOSED FOUR (4) STORY RESIDENTIAL BUILDING.,False,803 GLENMORE AVENUE,bbl,3039890032,3039890032,False,,no_footprint
B01247789,Alteration,3. Permitted for Construction,3428706,3036697501,3,62,PENNSYLVANIA AVENUE,,2025.0,218.0,218,0.0,,2025-08-01,2025-11-10,,Other,CHANGE IN USE AND OCCUPANCY AT 1ST FLOOR RETAIL #1 SPACE FROM UG 6C TO UG 7 AMBULATORY TREATMENT HEALTH CARE - PODIATRY OFFICES. NO CHANGE IN EGRESS. TENANT BUILD OUT IS INCLUDED IN THE SCOPE OF THE WORK.,False,62 PENNSYLVANIA AVENUE,bbl,3036697501,3036697501,False,,no_footprint
B01255657,New Building,1. Filed Application,3088379,3039710031,3,256,ESSEX STREET,,,0.0,18,18.0,,2025-08-27,,,Other,Proposed four (4) story + cellar and penthouse residential use building.,False,256 ESSEX STREET,bbl,3039710031,3039710031,False,,no_footprint
B01256572,New Building,1. Filed Application,3042802,3015740023,3,2433,ATLANTIC AVENUE,,,0.0,99,99.0,,2025-07-21,,,Other,Note: Hub Consultation meeting accepted on 06/11/2025. PROPOSED NEW THIRTEEN STORY RESIDENTIAL BUILDING.,False,2433 ATLANTIC AVENUE,bin,3015740023,3015740023,False,3042802,hdb_bin
B01239985,New Building,2. Approved Application,3430274,3040030001,3,455,LINWOOD STREET,,,0.0,11,11.0,,2025-06-25,,,Other,PROPOSED NEW THREE STORY 11 FAMILY RESIDENTIAL BUILDING.,False,455 LINWOOD STREET,bbl,3040030001,3040030001,False,,no_footprint
B01258188,Alteration,1. Filed Application,3327011,3037250001,3,340,MILLER AVENUE,,,16.0,16,0.0,,2025-07-21,,,Other,FILING TO AMEND EXPIRED TCO FOR WHICH THE FINAL C of O WAS NEVER OBTAINED.  ALL REHAB WORK WAS PERFORMED UNDER RELATED JOB #'s B00527268 & B00534838.  EXISTING USE EGRESS AND OCCUPANCY OF RESIDENTIAL BUILDING TO REMAIN.,False,340 MILLER AVENUE,bin,3037250001,3037250001,False,3327011,hdb_bin
B01261070,New Building,1. Filed Application,3042802,3015740023,3,28,HAVENS PLACE,,,0.0,99,99.0,,2025-07-24,,,Other,Note: Hub Consultation meeting accepted 06/11/2025. Note: Please assign subject 28 Havens Pl NB #B01261070 to the same examiner as 2433 Atlantic Ave NB #B01256572 since both NBs are under one zoning lot. PROPOSED NEW THIRTEEN STORY RESIDENTIAL BUILDING.,False,28 HAVENS PLACE,bin,3015740023,3015740023,False,3042802,hdb_bin
B01281297,Alteration,1. Filed Application,3087738,3039460003,3,181,MILLER AVENUE,,,1.0,2,1.0,,2025-10-01,,,2 Family,FILING FOR CHANGE OF USE AS PER PLANS,False,181 MILLER AVENUE,bin,3039460003,3039460003,False,3087738,hdb_bin
B01287171,New Building,1. Filed Application,3088270,3039610032,3,489,LIBERTY AVENUE,,,0.0,18,18.0,,2025-10-07,,,Other,PROPOSED NEW S-STORY (18) FAMILY RESIDENTIAL BUILDING WITH CELLAR,False,489 LIBERTY AVENUE,bin,3039610032,3039610032,False,3088270,hdb_bin
B01287593,Alteration,3. Permitted for Construction,3083400,3036750003,3,259,MOTHER GASTON BOULEVARD,,2025.0,3.0,10,7.0,,2025-09-16,2025-12-09,,Other,PROPOSED INTERIOR RENOVATION CONVERTING EXISTING 3 STORY AND CELLAR INTO A 10 UNIT RESIDENTIAL BUILDING.,False,259 MOTHER GASTON BOULEVARD,bin,3036750003,3036750003,False,3083400,hdb_bin
B01305637,New Building,1. Filed Application,3083561,3036900011,3,2730,ATLANTIC AVENUE,,,0.0,65,65.0,,2025-10-31,,,Other,(please assign to dev hub it should be assigned to same examiner as job B01305673-I1 as its same zoning lot with same scope of work applicant and owner) PROPOSED NEW 15 STORY AND CELLAR 65 UNIT MIX USE BUILDING,False,2730 ATLANTIC AVENUE,bin,3036900011,3036900011,False,3083561,hdb_bin
B01305673,New Building,1. Filed Application,3083563,3036900013,3,2734,ATLANTIC AVENUE,,,0.0,65,65.0,,2025-10-31,,,Other,(please assign to dev hub it should be assigned to same examiner as job B01305637-I1 as its same zoning lot with same scope of work applicant and owner) PROPOSED NEW 15 STORY AND CELLAR 65 UNIT MIX USE BUILDING,False,2734 ATLANTIC AVENUE,bin,3036900013,3036900013,False,3083563,hdb_bin
B01293200,Alteration,1. Filed Application,3327098,3039630033,3,535,LIBERTY AVENUE,,,0.0,3,3.0,,2025-10-15,,,Other,Propose to obtain Certificate of Occupancy for Existing Building.Convert Existing Manufacturing Use to Eating and Drinking Establishment and Residential 2 Family Dwelling unit.Install Ventilation system over Cooking EquipmentExhaust Duct in Bathrooms.,False,535 LIBERTY AVENUE,bin,3039630033,3039630033,False,3327098,hdb_bin
B01295339,New Building,3. Permitted for Construction,3429525,3037230015,3,452,GLENMORE AVENUE,,2025.0,0.0,2,2.0,,2025-10-03,2025-12-26,,2 Family,PROPOSED NEW THREE (3) STORY TWO (2) FAMILY BUILDING. OBTAIN A CERTIFICATE OF OCCUPANCY. ALL WORK AS PER PLANS.,False,452 GLENMORE AVENUE,bbl,3037230015,3037230015,False,,no_footprint
B01297629,New Building,1. Filed Application,3088336,3039670015,3,2916,ATLANTIC AVENUE,,,0.0,85,85.0,,2025-10-06,,,Other,Proposed eleven (11) story mixed-use building.,False,2916 ATLANTIC AVENUE,bin,3039670015,3039670015,False,3088336,hdb_bin
