Job_Number,Job_Type,Job_Status,BIN,BBL,Boro,AddressNum,AddressSt,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,Units_CO,DateFiled,DatePermit,DateComplt,Bldg_Class,Job_Desc,hdb_completed,hdb_address,hdb_match_via,hdb_bbl_used,our_bbl,hdb_bbl_is_historic,matched_bin,bin_attach
322114564,Alteration,1. Filed Application,3088723,3039890009,3,339,SHEPHERD AVENUE,,,2.0,2,0.0,,2024-06-11,,,B2,FILING ALT 1 NO WORK APPLICATION IN CONJUNCTION WITH NB APPLICATION #B00670629-I1  TO UPDATE PROPERTY MEETS AND BOUNDS,False,339 SHEPHERD AVENUE,bin,3039890009,3039890009,False,3088723,hdb_bin
322158026,Demolition,5. Completed Construction,3395220,3036620048,3,2701,FULTON STREET,2022.0,2022.0,2.0,0,-2.0,,2022-02-28,2022-06-16,2022-06-16,V1,FULL DEMOLITION TO A TWO STORY HOUSE,True,2701 FULTON STREET,bin,3036620048,3036620048,False,3395220,hdb_bin
322160790,Alteration,1. Filed Application,3414620,3039960030,3,2295,PITKIN AVENUE,,,2.0,2,0.0,,2023-05-01,,,B1,FILING TO CORRECT BIN AND LOT NUMBER ON EXISTING CERTIFICATE OF OCCUPANCY # #302346030F. NO CHANGE TO OCCUPANCY AND USE.,False,2295 PITKIN AVENUE,bin,3039960030,3039960030,False,3414620,hdb_bin
340784501,Alteration,5. Completed Construction,3094250,3041920012,3,73,CRYSTAL STREET,2022.0,2021.0,2.0,2,0.0,2.0,2020-11-07,2021-06-24,2022-06-13,B3,"LEGALIZATION OF 1 STORY IN THE REAR PART OF 2 STORY BUILDING. ROMVE SOME VIOLATIONS# 35485117J, 390133422X, 34822203Y, 34299348L, 34299347J, 34822202M.",True,73 CRYSTAL STREET,bin,3041920012,3041920012,False,3094250,hdb_bin
322110309,Demolition,5. Completed Construction,3328394,3039670038,3,647,LIBERTY AVENUE,2023.0,2023.0,1.0,0,-1.0,,2022-10-25,2023-01-25,2023-01-25,V1,"FULL DEMOLITION OF TWO STORY HOUSE, USING HAND HELD EQUIPMENT TO DEMOLISH AND MECHANICAL MEANS WILL LOAD OUT DEBRIS AND BACK-FILL SITE. PROPERTY HAS BEEN DECLARED AND ED BY DOB VIOLATION #17055",True,647 LIBERTY AVENUE,bbl,3039670038,3039670038,False,,no_footprint
322110327,Demolition,5. Completed Construction,3088346,3039670037,3,651,LIBERTY AVENUE,2023.0,2023.0,1.0,0,-1.0,,2022-10-25,2023-01-25,2023-01-25,C1,"FULL DEMOLITION OF TWO STORY HOUSE, USING HAND HELD EQUIPMENT, MECHANICAL MEANS WILL BE USED TO LOAD OUT DEBRIS AND BACK-FILL SITE.  DOB ISSUED AN EMERGENCY DEC FOR THIS PROPERTY.",True,651 LIBERTY AVENUE,bbl,3039670037,3039670037,False,,no_footprint
322111674,Demolition,5. Completed Construction,3429826,3037030035,3,180,PENNSYLVANIA AVENUE,2023.0,2023.0,2.0,0,-2.0,,2022-10-24,2023-02-21,2023-02-21,V1,FULL DEMOLITION TO A TWO STORY HOUSE,True,180 PENNSYLVANIA AVENUE,bin,3037030035,3037030035,False,3429826,hdb_bin
340764104,New Building,5. Completed Construction,3088470,3039760065,3,82,MILFORD STREET,2022.0,2021.0,0.0,7,7.0,7.0,2020-09-09,2021-04-21,2022-08-16,C1,,True,82 MILFORD STREET,bin,3039760065,3039760065,False,3088470,hdb_bin
340765602,New Building,5. Completed Construction,3326746,3036890012,3,2700,ATLANTIC AVENUE,2024.0,2023.0,0.0,231,231.0,231.0,2020-09-14,2023-05-08,2024-12-02,D6,,True,2700 ATLANTIC AVENUE,bbl,3036890012,3036890012,False,3430474,lot_single_bin
340770473,New Building,3. Permitted for Construction,3428778,3015440015,3,156,SOMERS STREET,,2022.0,0.0,10,10.0,,2020-09-29,2022-04-13,,D3,"NEW 6 STORY RESIDENTIAL BUILDING. PL/SP B00536264, MH B00536740, FN B00545298, ST B00562566.",False,156 SOMERS STREET,bbl,3015440015,3015440015,False,,no_footprint
340771720,New Building,3. Permitted for Construction,3428779,3015440016,3,158,SOMERS STREET,,2022.0,0.0,10,10.0,,2020-10-01,2022-04-08,,D3,,False,158 SOMERS STREET,bbl,3015440016,3015440016,False,,no_footprint
340801500,New Building,3. Permitted for Construction,3038665,3014370001,3,2384,ATLANTIC AVENUE,,2023.0,0.0,0,0.0,,2021-01-06,2023-04-13,,H9,,False,2384 ATLANTIC AVENUE,bbl,3014370001,3014370001,False,,no_footprint
321187069,New Building,5. Completed Construction,3319652,3040010001,3,437,CLEVELAND STREET,2019.0,2017.0,0.0,2,2.0,2.0,2016-04-27,2017-09-28,2019-08-28,B1,PROPOSED NEW TWO (2)- STORY RESIDENTIAL BUILDING WITH CELLAR. TWO (2)DWELLING UNITS. UNDERPINNING &amp; SHORING IS REQUIRED FOR 441 CLEVELAND S BUILDING. OBTAIN NEW CERTIFICATE OF OCCUPANCY,True,437 CLEVELAND STREET,bin,3040010001,3040010001,False,3319652,hdb_bin
321189138,New Building,5. Completed Construction,3428798,3041540061,3,32,FOUNTAIN AVENUE,2020.0,2018.0,0.0,7,7.0,7.0,2016-11-01,2018-02-28,2020-08-13,C1,,True,32 FOUNTAIN AVENUE,bin,3041540061,3041540061,False,3428798,hdb_bin
